sentence,participants,tense
"is the largest market, we had a lot of claims and most of these claims have not beenaccounted for fully, because the release you have seen probably only includes theupdated portfolio information 12 months ago",Iain Pearce,past
"So, an awful lot of COVID is still not in there.That is something what we hope to release sometime in the future as soon as we knowthat we have valid data for that from the clients.Jean-Jacques HenchozOn P&C growth, Sven, do you want to add?Sven AlthoffYes",Iain Pearce,past
"As I said earlier, the increase in the major loss budget is not a good proxy for ourexpected growth in net earned premium on the P&C side next year",Iain Pearce,past
"From a process pointof view, we are fixing the major loss budget in the autumn of the previous year, so like weare doing now",Iain Pearce,past
"So, the EUR1.3 billion is fixed for 2022",Iain Pearce,past
"Same, of course, goes for the EUR1.1billion we fixed for 2021",Iain Pearce,past
"And we -- when we were fixing it at the time, we did not expect apremium growth of about 14% after three quarters on the P&C side, but we were moreexpecting a growth in the 5% to 7.5% range",Iain Pearce,past
"So, a good part of the increase in the majorloss budget is explained by catching up with the actual growth, which we have achieved in2021, plus then the expected growth for 2022.As Jean-Jacques said for 2022, we are expecting a more pronounced growth than the 5%on the P&C side",Iain Pearce,past
"But you should think more along the lines of the mid-term average Igave you during the Investors Day, i.e., the at least 7% number I gave you a few weeksago, rather than the 14% after three quarters",Iain Pearce,past
"By the way, the growth number will comeslightly back more to what the 10% growth number on the P&C side on the -- for the fullyear",Iain Pearce,past
"The reason why the growth rate in the third quarter was particularly high, reset onour biggest structured contract, we have increased our share",Iain Pearce,past
"So, there was a significantpremium entry booked in the third quarter",Iain Pearce,past
"But under that contract, we every year toohave the appropriate premium distribution on an earned basis and written basis, there willbe a significant number of premium booked out in the fourth quarter in 2022 on thatparticular contract",Iain Pearce,past
"And that's why the final number for P&C will be closer to the 10%rather than staying at the 14.5%, where we are after three quarters.Perfect",Iain Pearce,present
Thank you.OperatorThe next question is from Darius Satkauskas of KBW,Iain Pearce,past
Your line is now open,Iain Pearce,past
Please goahead.,Iain Pearce,unknown
Good morning,Darius Satkauskas,unknown
Thank you for taking my questions,Darius Satkauskas,past
"So, your Solvency II ratio have declined11 percentage points since the end of July",Darius Satkauskas,past
"Could you tell us how many Solvency II pointsdid the expected growth account for? And then, is this capturing the next 12 months? So,the 4Q 2022 as well or -- sorry, is it capturing the next 12 months or the entire 2022?And then lastly, do you have a comparable figure for last year, because if I look at theSolvency II decline in 3Q 2020 relative to 1H '20, it's much less pronounced",Darius Satkauskas,past
"So, yes, couldyou give us a comparable figure if possible? Thank you.Clemens Jungsthof elYes",Darius Satkauskas,past
"On Solvency II, it's actually the business growth that we've seen in 2021, that isreflected",Darius Satkauskas,past
"So, we've updated our model for the current business growth, which has beensignificant so far and also it includes the full 12 months of 2022",Darius Satkauskas,past
"So, that's really the usualplanning cycle that we complete in Q3, and then we include that in our SCR calculation forthe full year 2022, so that's the new business both in P&C and in life and health",Darius Satkauskas,past
"So thatincreases -- and then, of course, the higher capacities here and there in P&C and life andhealth",Darius Satkauskas,unknown
"So that's the main driver.I don't have the exact number, but it's going to be a double-digit number, which has beenoffset by some other effects, but I think it's about a double-digit number here",Darius Satkauskas,past
"And again,another contributor was, of course, the asset risk due to our slightly changed assetallocation and the increase in alternative investments as mentioned earlier",Darius Satkauskas,past
"That wasanother contributor.Thank you.OperatorAnd we have a follow-up question from Vinit Malhotra, Mediobanca",Darius Satkauskas,past
Your line is now openagain.,Darius Satkauskas,past
